가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
베이킹덕,케이크전문,,,,nrnr빔,https://m.place.naver.com/my/5c74dfa70e63d3e13f1b77d4/review?v=2,22,,,"매번 지나가면서 오고 싶었던 곳인데 드디어 왔어요!!
케이크 하나하나 다 너무 예쁘고 사장님도 너무 친절하시네용ㅎㅎ 고민하다가 초바케이크로 골랐어요!
다음엔 카라멜 얼그레이 먹으러 올 겁니당🌼",,2024년 7월 19일 금요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,tpf****,https://m.place.naver.com/my/5efe4011afcca6e20afd1b9a/review?v=2,22,,,카라멜얼그레이케익 저번에 먹어보고 너무 맛있어서 또 사왔어요. 카라멜이라 막 너무 달까바 처음엔 기대를 안했는데 적당히 달콤하면서 부드럽고 정말 맛있어요!,,2024년 7월 20일 토요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,니모맘7,https://m.place.naver.com/my/5d42505231ec4fe7247fd663/review?v=2,12,,,"아침에 급하게 예약했지만 맛있게 만들어주셔서 잘 받았어요 
너무 신선하고 인위적인 단맛이 덜하고 원가 집에서 만든듯한 느낌이었어요 
후기들이 왜 다 좋았는지 알겠더라구요
물리지 않아서 그자리에서 가족 5명이 다 먹어치웠습니다 
다른케익들도 먹어보고 싶어요 
사장님 감사해요 :)",,2024년 7월 25일 목요일,1번째 방문,예약
베이킹덕,케이크전문,,,,밍하94,https://m.place.naver.com/my/5e0830838f87a842bca9c4b8/review?v=2,3,,,저번에 남자친구랑 우연히 지나가다가 왔었는데 너무 맛있어서 놀랐던 집이에요! 제가 먹어본 케이크 중에 정말 제일 맛있다고 할 수 있을 정도로 맛있습니다. 케이크 좋아하시는 분들은 꼭 들려서 드셔보세용!!🎀💓,,2024년 7월 25일 목요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,gpwl98,https://m.place.naver.com/my/5cd299359081bd839072dfba/review?v=2,95,5.0,,"케이크 종류도 다양하고
너무너무 친절하셔서 어버이날 기념으로 기분좋게 케이크를 사갈 수 있었어요 ㅎㅎ
어버이날 기념으로 카네이션 초가 할인도 하고있습니다!!!
하루를 특별하게 만들고 싶은날 강력추천이에요✨❤️",,2024년 5월 4일 토요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,tks****,https://m.place.naver.com/my/5db331668f87a842bcf6e901/review?v=2,13,,,"친구의 생일을 위해 케이크를 맞췄어요.
친구들 모두 너무 맛있다고 하며
어디 케이크냐고 물어보고 아주
반응이 좋았답니다 :)

덕분에 친구들과 달콤한 시간 보냈습니다.
감사합니다.

담에 또 케이크 사러 가겠습니다.


주인분께서 너무 친절하게 응대해주시고
케이크도 너무 맛있고

너무 너무 추천합니다!!!!",,2024년 7월 13일 토요일,1번째 방문,예약
베이킹덕,케이크전문,,,,hyein65,https://m.place.naver.com/my/5c9cc50e7bacdc3237d938a6/review?v=2,6,,,어른 아이 할꺼 없이 베이킹덕에서 케익을 사가면 다들 맛있다고 좋아합니다! 오늘은 여러가지 다 맛보고 싶어서 모둠으로 구매했습니다~ 잘 먹고 다음에도 또 방문할께요~ 번창하세요!!,,2024년 6월 28일 금요일,2번째 방문,영수증
베이킹덕,케이크전문,,,,akasia78,https://m.place.naver.com/my/604afacacc3dde3cb624beff/review?v=2,14,,,"특별한날 축하를위해 케이크 주문후 방문했어요.
방문한김에 커피와케이크한조각 먹어봤는데 너무 부드럽고 진한 말차케이크 굿굿. 주문한케이크는 자몽베르에요. 생자몽과 얼그레이의 만남은 한입먹는순간 미소가 싸악~ 지어지는맛이에요. 여기 케이크 찐입니다.저희 가족 모두가 너무 행복하게 먹었답니다^^ 제가 케이크관심 많은 1인으로써 강력추천드려요.
번창하시고 종종 방문하고 주문도 할께요~
다른 케이크도 먹어보고싶네요 ㅎㅎ
",,2024년 4월 29일 월요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,아마그렇겟돈,https://m.place.naver.com/my/5b7d0d134e7995453348e8ac/review?v=2,7,,,"식후 디저트 사러 4번 정도 방문했어요
동네에 퀄리티 좋은 케이크집이 있어서 넘 좋아요
맛도 좋고 청결해요 ^^","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 5일 금요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,조제52,https://m.place.naver.com/my/5d99f2688f87a842bc1be545/review?v=2,19,,,"네이버로 검색해서 찾아왔어요!
특별한 케잌 선물하고 싶어서,
조각으로 4개 샀습니다.
아직 맛을 알수 없지만,
고급진 아우라에~ 딱 봐도 맛나 보여요!

특별한 선물이 되겠어요!!",,2024년 6월 3일 월요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,쭈뽕67,https://m.place.naver.com/my/5d2149719a7f73182cf790e9/review?v=2,288,,,"아이가 케이크 너무 맛있다고해서 재방문했어요~~
항상 친절하게 맞이해주셔서 기분좋은 방문이었어요~~","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 7월 2일 화요일,2번째 방문,영수증
베이킹덕,케이크전문,,,,gpfk,https://m.place.naver.com/my/5bac685d46706631d45b80ab/review?v=2,112,,,와 매장 진짜 깨끗해요 쩔어요 맛있고 대박,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 8일 토요일,1번째 방문,결제내역
베이킹덕,케이크전문,,,,EHEH99,https://m.place.naver.com/my/605df0e34a0c10773dfbd6ba/review?v=2,9,,,"동네 친구가 맛있다고 했던 게 기억 나서 동료 생일날 맞춰 예약하고 다음알 저녁에 포장해 갔습니다 
자몽이랑 얼그레이 조합이 너무 좋았고 너무 지극적이지도 않고 은은힌 단밋고 고소하고 새콤해서 맛있다고 다들 너무 좋아하셨어요 한분은 이때까지 먹은 케익 중에 최고라고 칭찬하셨습니다 ㅎㅎㅎ 잘골라서 너무 뿌듯했어요 맛있는 케이크 만들어주셔서 감사합니다 덕분에 사가기만한 저도 기분이 좋아졌네요",,2024년 6월 2일 일요일,1번째 방문,예약
베이킹덕,케이크전문,,,,앙버터누나,https://m.place.naver.com/my/5dd00aa68f87a842bcf3d28f/review?v=2,137,16.0,,지나가는 길에 멋진 비쥬얼의 케익들을 보고 발길을 돌려서 왔어요!😍 재료도 듬뿍 들어가고 가격도 좋아요!🥰❤️ 상호명이 왜 베이킹덕일까🤔 궁금했는데 영수증 대표자명보고 궁금증이 풀렸어요ㅎㅎㅎ사장님의 작명센스에 감탄합니다❣️❣️❣️ 번창하세요!!!,,2024년 3월 12일 화요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,pin****,https://m.place.naver.com/my/5b8929f579550a5dbcf12246/review?v=2,14,,,보기만 해두 맛있는 케이크가 가득!! 특별한 날에 먹기 너무 좋은 케이크가 많아서 강추합니당🥰 저는 기본 조각케이크 좋아해서 생크림인 딸기샤워랑 특이한 케이크인 자몽베르 하나 포장했구 포장시간두 금방 나왔습니다☺️ 군대 휴가나온 동생이랑 맛있게 먹겠습니다,,2024년 4월 18일 목요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,alicelove21,https://m.place.naver.com/my/5cfa2e8184b591355ac9920b/review?v=2,13,,,아이 생일이라 급하게 케이크 사러 왔는데 친절하게 맞춤 케이크 주문 받아주셔서 좋았어요~ 케이크가 다 맛있어보여요~ 다음에도 이용할게요~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 11일 화요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,kye****,https://m.place.naver.com/my/5c385a8e5520d42df0c1cca7/review?v=2,6,,,"첫방문에 모두맛보고싶어 모둠케익주문햇어요
케익모두맛잇어보여서 기대되요
원픽생기믄 앞으로가족생일케익 고정하려구욥~~",,2024년 5월 19일 일요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,codnjs9612,https://m.place.naver.com/my/5c9f50bfabc4665865ac368b/review?v=2,40,,,바닐라라떼도 넘 맛있고 친구랑 다녀갔는데 사장님도 친절하세요 가게에서 나는 향기가 취향저격이네요 ㅎㅎ,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 27일 월요일,1번째 방문,영수증
베이킹덕,케이크전문,,,,쮸영영,https://m.place.naver.com/my/5eff2a8d8f87a842bcaa0dbe/review?v=2,3,,,제 맛집 촉으로 케이크 여기서 사보기로하고 엄마생일에 맞춰 딸기샤워 2호 예약주문했어요. 들고가는데 케이크 상자 뚫리지 않을까 걱정될만큼 묵직했어요. 근데 정말 맛있어서 깜짝 놀랐고 같이 먹은 가족등 다들 칭찬하고 다 먹었어요. 그 동안 딸기케이크는 피** 많이 이용했었는데 이제 홍대까지 갈필요 없겠어요. 더 묵직하고 밀도 있는 느낌이고 정말 너무 맛있었어요. 앞으로 케이크는 여기서만 살 것 같아요,,2024년 5월 6일 월요일,1번째 방문,예약
베이킹덕,케이크전문,,,,5h,https://m.place.naver.com/my/5e4b99f08f87a842bcfec3a2/review?v=2,3,,,케이크가 적당히 달고 부드럽고 맛있어요. 디자인도 귀여워서 선물로 좋았어요. 지나가다 조각케이크 사서 먹어보고 맛있어서 예약했는데 만족스럽습니다.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 8일 토요일,1번째 방문,예약
베이킹덕,케이크전문,,,,ssy****,https://m.place.naver.com/my/615342d34f4bb2f03c81d84c/review?v=2,325,,,사장님 넘 친절하시구 케이크가 너무 달지않게 맛있어요!! 자몽얼그레이 잘 안파는데 팔아서 너무 좋아요♥️ 여기 얼그레이케이크는 얼그레이가 많이 들어있어서 좋아용 부드럽고 좋습니다 ㅋ 🩷🩷🩷,,2024년 4월 28일 일요일,2번째 방문,영수증
베이킹덕,케이크전문,,,,kth****,https://m.place.naver.com/my/5efdec7697c2663e93477ba5/review?v=2,1039,3.0,,"지난번에 초바랑 딸기샤워 맛있어서 재방문입니다!
다른 맛 먹어보려고요! 많이 안달고 딱 좋습니다 ㅎㅎㅎ
직접 구워서 만드시는거라 더 맛나요 ㅎㅎㅎㅎ
",,2024년 3월 23일 토요일,2번째 방문,영수증
